t,cmd_left,cmd_right,Tu,Tr,u,v,r
290.5,0.1,0.7,46.623973020707595,11.860046223950441,0.9223005708930584,-0.7784025280936798,1.6517116180183578
290.5333333333333,0.1,0.7,46.623973020707595,11.860046223950441,0.92236548917939,-0.7763478274766092,1.6504902865227853
290.56666666666666,0.1,0.7,46.623973020707595,11.860046223950441,0.9225269301296669,-0.774452051266269,1.6493991208758236
290.6,0.1,0.7,46.623973020707595,11.860046223950441,0.9227702384273779,-0.7727122431817481,1.648430924714942
290.6333333333333,0.1,0.7,46.623973020707595,11.860046223950441,0.9230819579911816,-0.7711243007864138,1.6475783169542206
290.6666666666667,0.1,0.7,46.623973020707595,11.860046223950441,0.9234497983144554,-0.7696831791355359,1.6468338279436177
290.7,0.1,0.7,46.623973020707595,11.860046223950441,0.9238625940810501,-0.7683830743101409,1.6461899820093744
290.73333333333335,0.1,0.7,46.623973020707595,11.860046223950441,0.9243102594374639,-0.7672175879692569,1.6456393678865007
290.76666666666665,0.1,0.7,46.623973020707595,11.860046223950441,0.9247837381420955,-0.7661798740897717,1.6451746983818323
290.8,0.1,0.7,46.623973020707595,11.860046223950441,0.9252749506667506,-0.7652627690750928,1.6447888604521768
290.8333333333333,0.1,0.7,46.623973020707595,11.860046223950441,0.9257767391932896,-0.7644589064063131,1.6444749567463044
290.8666666666667,0.1,0.7,46.623973020707595,11.860046223950441,0.9262828113282838,-0.7637608169873228,1.6442263395410752
290.9,0.1,0.7,46.623973020707595,11.860046223950441,0.9267876832498669,-0.7631610163020854,1.6440366378994125
290.93333333333334,0.1,0.7,46.623973020707595,11.860046223950441,0.9272866229027078,-0.7626520794612133,1.6438997787895284
290.96666666666664,0.1,0.7,46.623973020707595,11.860046223950441,0.9277755937683203,-0.7622267051685045,1.6438100028290177
291.0,0.1,0.7,46.623973020707595,11.860046223950441,0.9282511996579497,-0.7618777695881922,1.643761875252443
291.0333333333333,0.1,0.7,46.623973020707595,11.860046223950441,0.9287106309032732,-0.7615983710418162,1.6437502926451877
291.06666666666666,0.1,0.7,46.623973020707595,11.860046223950441,0.9291516122554357,-0.7613818664110237,1.643770485938114
291.1,0.1,0.7,46.623973020707595,11.860046223950441,0.9295723527448696,-0.7612219000700937,1.6438180201155803
291.1333333333333,0.1,0.7,46.623973020707595,11.860046223950441,0.9299714977023558,-0.7611124261202026,1.6438887910524527
291.1666666666667,0.1,0.7,46.623973020707595,11.860046223950441,0.9303480830953423,-0.7610477246468554,1.6439790198628503
291.2,0.1,0.7,46.623973020707595,11.860046223950441,0.9307014922921849,-0.7610224126728057,1.6440852451136758
291.23333333333335,0.1,0.7,46.623973020707595,11.860046223950441,0.9310314153302822,-0.76103145043138,1.6442043132287698
291.26666666666665,0.1,0.7,46.623973020707595,11.860046223950441,0.931337810731666,-0.7610701435395341,1.6443333673842864
291.3,0.1,0.7,46.623973020707595,11.860046223950441,0.9316208698811179,-0.7611341416062573,1.6444698351721438
291.3333333333333,0.1,0.7,46.623973020707595,11.860046223950441,0.9318809839570086,-0.7612194337701369,1.6446114152858926
291.3666666666667,0.1,0.7,46.623973020707595,11.860046223950441,0.9321187133834922,-0.7613223416199898,1.644756063461808
291.4,0.1,0.7,46.623973020707595,11.860046223950441,0.9323347597541747,-0.7614395099144421,1.6449019778873242
291.43333333333334,0.1,0.7,46.623973020707595,11.860046223950441,0.9325299401616571,-0.7615678954801672,1.6450475842690018
291.46666666666664,0.1,0.7,46.623973020707595,11.860046223950441,0.9327051638542004,-0.7617047546341316,1.6451915207329961
291.5,0.1,0.7,46.623973020707595,11.860046223950441,0.9328614111299514,-0.7618476294426225,1.6453326227125067
291.5333333333333,0.1,0.7,46.623973020707595,11.860046223950441,0.9329997143705027,-0.7619943330990018,1.6454699079589112
